n_hotspots,coverage_pct
1,5.18
2,9.04
3,12.63
4,16.17
5,19.25
6,21.67
7,23.67
8,25.53
9,27.34
10,29.08
11,30.61
12,32.09
13,33.57
14,34.94
15,36.26
16,37.54
17,38.77
18,39.85
19,40.92
20,41.86
21,42.79
22,43.71
23,44.54
24,45.3
25,46.06
26,46.77
27,47.45
28,48.13
29,48.8
30,49.46
31,50.11
32,50.75
33,51.35
34,51.96
35,52.55
36,53.14
37,53.67
38,54.18
39,54.69
40,55.16
41,55.58
42,56.0
43,56.41
44,56.82
45,57.22
46,57.62
47,58.01
48,58.4
49,58.78
50,59.15
51,59.52
52,59.88
53,60.25
54,60.61
55,60.96
56,61.31
57,61.66
58,62.01
59,62.35
60,62.68
61,63.0
62,63.32
63,63.63
64,63.93
65,64.22
66,64.51
67,64.78
68,65.05
69,65.32
70,65.59
71,65.85
72,66.11
73,66.36
74,66.61
75,66.86
76,67.11
77,67.36
78,67.61
79,67.85
80,68.09
81,68.33
82,68.57
83,68.8
84,69.02
85,69.23
86,69.44
87,69.65
88,69.87
89,70.07
90,70.28
91,70.49
92,70.69
93,70.9
94,71.1
95,71.3
96,71.49
97,71.68
98,71.87
99,72.06
100,72.24
101,72.42
102,72.6
103,72.78
104,72.95
105,73.12
106,73.29
107,73.45
108,73.62
109,73.78
110,73.94
111,74.09
112,74.24
113,74.4
114,74.55
115,74.69
116,74.84
117,74.98
118,75.12
119,75.26
120,75.4
121,75.54
122,75.68
123,75.82
124,75.96
125,76.09
126,76.23
127,76.36
128,76.49
129,76.62
130,76.74
131,76.87
132,77.0
133,77.12
134,77.25
135,77.37
136,77.49
137,77.62
138,77.74
139,77.86
140,77.98
141,78.1
142,78.22
143,78.33
144,78.45
145,78.57
146,78.68
147,78.79
148,78.91
149,79.02
150,79.13
151,79.24
152,79.35
153,79.45
154,79.56
155,79.66
156,79.76
157,79.86
158,79.96
159,80.05
160,80.15
161,80.25
162,80.34
163,80.44
164,80.53
165,80.62
166,80.71
167,80.8
168,80.89
169,80.98
170,81.06
171,81.15
172,81.23
173,81.32
174,81.4
175,81.48
176,81.56
177,81.64
178,81.72
179,81.8
180,81.88
181,81.96
182,82.04
183,82.11
184,82.18
185,82.26
186,82.33
187,82.4
188,82.47
189,82.54
190,82.61
191,82.68
192,82.75
193,82.81
194,82.88
195,82.95
196,83.01
197,83.08
198,83.14
199,83.21
200,83.27
201,83.33
202,83.4
203,83.46
204,83.52
205,83.58
206,83.64
207,83.7
208,83.76
209,83.81
210,83.87
211,83.93
212,83.98
213,84.04
214,84.09
215,84.15
216,84.2
217,84.26
218,84.31
219,84.36
220,84.41
221,84.46
222,84.51
223,84.57
224,84.61
225,84.66
226,84.71
227,84.76
228,84.81
229,84.86
230,84.91
231,84.95
232,85.0
233,85.05
234,85.09
235,85.14
236,85.18
237,85.23
238,85.27
239,85.32
240,85.36
241,85.4
242,85.45
243,85.49
244,85.53
245,85.58
246,85.62
247,85.66
248,85.7
249,85.75
250,85.79
251,85.83
252,85.87
253,85.9
254,85.94
255,85.98
256,86.02
257,86.06
258,86.09
259,86.13
260,86.16
261,86.2
262,86.23
263,86.27
264,86.3
265,86.34
266,86.37
267,86.41
268,86.44
269,86.47
270,86.51
271,86.54
272,86.57
273,86.61
274,86.64
275,86.67
276,86.7
277,86.73
278,86.77
279,86.8
280,86.83
281,86.86
282,86.89
283,86.92
284,86.95
285,86.98
286,87.01
287,87.04
288,87.07
289,87.1
290,87.13
291,87.16
292,87.19
293,87.21
294,87.24
295,87.27
296,87.3
297,87.33
298,87.35
299,87.38
300,87.41
301,87.43
302,87.46
303,87.48
304,87.51
305,87.54
306,87.56
307,87.59
308,87.61
309,87.64
310,87.66
311,87.69
312,87.71
313,87.74
314,87.76
315,87.78
316,87.81
317,87.83
318,87.85
319,87.87
320,87.89
321,87.92
322,87.94
323,87.96
324,87.98
325,88.0
326,88.02
327,88.04
328,88.06
329,88.08
330,88.1
331,88.13
332,88.15
333,88.17
334,88.19
335,88.21
336,88.23
337,88.25
338,88.27
339,88.29
